review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,50,93,5,Buena calidad,El producto es correcto pero la entrega tardó.,true,21,2023-07-24
2,37,66,3,Podría mejorar,Cumple con lo prometido.,true,6,2023-02-24
3,67,350,1,Recomendado,El producto es correcto pero la entrega tardó.,true,3,2024-07-10
4,48,171,4,Buena calidad,No cumplió mis expectativas.,true,10,2025-01-11
5,3,364,1,Excelente producto,Muy buena calidad por el precio.,true,20,2024-09-13
6,77,288,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,17,2024-06-18
7,52,121,4,Recomendado,Cumple con lo prometido.,true,38,2024-12-12
8,56,242,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,17,2026-03-14
9,60,470,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,42,2025-09-09
10,91,362,2,Muy bueno,Muy buena calidad por el precio.,true,17,2024-09-23
11,74,345,4,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,46,2025-11-27
12,72,119,2,Cumple expectativas,No cumplió mis expectativas.,false,7,2024-06-28
13,63,122,3,Satisfecho,Llegó a tiempo y en perfecto estado.,true,44,2025-01-10
14,25,167,3,Satisfecho,Excelente relación calidad-precio.,false,6,2025-02-20
15,99,73,1,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,7,2024-03-05
16,86,282,3,Podría mejorar,No cumplió mis expectativas.,true,36,2024-06-25
17,96,39,1,Excelente producto,Bueno pero esperaba un poco más.,true,1,2024-03-11
18,100,126,5,No tan bueno,No cumplió mis expectativas.,true,25,2023-06-10
19,61,223,5,Cumple expectativas,Bueno pero esperaba un poco más.,true,35,2024-06-07
20,4,163,2,Satisfecho,Excelente relación calidad-precio.,true,25,2023-03-25
21,29,315,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,9,2025-05-21
22,25,192,1,Satisfecho,Llegó a tiempo y en perfecto estado.,false,20,2023-11-09
23,73,49,1,Excelente producto,Muy buena calidad por el precio.,true,37,2026-02-07
24,6,443,5,Excelente producto,Excelente relación calidad-precio.,true,10,2024-07-18
25,28,403,2,Muy bueno,Bueno pero esperaba un poco más.,true,46,2025-07-05
26,22,89,5,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",false,45,2024-10-31
27,30,158,3,Buena calidad,No cumplió mis expectativas.,true,37,2023-03-28
